cvr,company_name,company_form,industry_nace,region,founded_year,employee_band,vat_frequency,has_subsidiaries,uses_target_software
DK20831192,NordRegnskab A/S,ApS,62010,Syddanmark,2007,20-49,Quarterly,False,1
DK43186520,MaaneData A/S,ApS,62010,Syddanmark,2009,0,Quarterly,False,0
DK58491021,BjergTal Holding ApS,ENK,85590,Hovedstaden,1994,1-4,Monthly,False,1
DK35131720,BirkKonsult IVS,ApS,70220,Syddanmark,1999,1-4,Quarterly,False,1
DK52583830,OestDesign A/S,ApS,68203,Hovedstaden,2024,10-19,Quarterly,False,1
DK26924171,VestLabs Holding ApS,ApS,43210,Syddanmark,2023,10-19,Quarterly,False,0
DK29378529,SydRegnskab A/S,IVS,62010,Nordjylland,2011,1-4,Quarterly,False,1
DK44259129,MarkDesign Holding ApS,ENK,62020,Hovedstaden,1990,5-9,Quarterly,False,1
DK10439509,LynMarked A/S,ApS,62020,Syddanmark,1993,5-9,Quarterly,False,1
DK70096133,KlintData ApS,ENK,68203,Hovedstaden,2015,5-9,Monthly,False,1
DK97569887,BirkSystem IVS,A_S,62020,Syddanmark,2020,1-4,Quarterly,False,1
DK56926159,SkyTal A/S,ENK,47410,Syddanmark,2017,5-9,Quarterly,False,0
DK74666189,KlintSystem A/S,ApS,68203,Hovedstaden,2003,10-19,Half-yearly,False,0
DK27445762,OestVaerk Holding ApS,ApS,68203,Nordjylland,2017,5-9,Quarterly,False,1
DK17522450,SkovMarked ApS,A_S,63110,Hovedstaden,1999,1-4,Monthly,False,0
DK94816661,HavStudio Holding ApS,ENK,62010,Sjaelland,2001,1-4,Half-yearly,False,1
DK73191495,SolRaad ApS,ENK,62020,Midtjylland,1994,0,Quarterly,False,0
DK46995863,KlippeRegnskab ApS,A_S,62010,Sjaelland,2003,0,Half-yearly,False,1
DK69833038,MarkRaad A/S,Holding,62020,Midtjylland,2014,0,Half-yearly,True,0
DK98260791,StjerneLogistik IVS,ENK,46900,Midtjylland,2012,0,Quarterly,False,0
DK95845713,MarkSystem Holding ApS,ENK,49410,Syddanmark,2015,0,Quarterly,False,0
DK26140932,KlippeStudio ApS,ENK,46900,Syddanmark,2002,5-9,Monthly,False,0
DK71526941,KlintTal ApS,ENK,43210,Syddanmark,1991,20-49,Monthly,False,0
DK67036485,MarkKontor A/S,ApS,62020,Nordjylland,2013,20-49,Monthly,False,1
DK24288420,MarkHuset ApS,ApS,86220,Midtjylland,2012,0,Monthly,False,0
DK84034583,AaaService IVS,A_S,43210,Hovedstaden,1992,10-19,Quarterly,False,1
DK32072924,SkyKonsult ApS,ApS,01130,Nordjylland,2003,20-49,Quarterly,False,1
DK68055510,NordLabs A/S,ApS,68203,Hovedstaden,2023,1-4,Quarterly,False,1
DK48273942,SoeStudio A/S,ApS,69200,Hovedstaden,2014,0,Quarterly,False,0
DK74733059,SydKonsult ApS,ApS,62010,Hovedstaden,1999,10-19,Quarterly,False,1
DK66769343,SkyKontor Holding ApS,A_S,63110,Syddanmark,1999,20-49,Quarterly,True,0
DK72593050,VestDesign Holding ApS,A_S,70220,Syddanmark,1997,1-4,Quarterly,False,0
DK80384669,BirkRegnskab ApS,ENK,68203,Hovedstaden,2005,0,Quarterly,False,0
DK31549913,SkovMarked ApS,ApS,70220,Syddanmark,2021,0,Quarterly,False,0
DK53366250,AaaAdvice A/S,ApS,85590,Hovedstaden,2012,1-4,Quarterly,False,0
DK77868583,LynMarked ApS,A_S,46900,Hovedstaden,2023,1-4,Half-yearly,False,0
DK74280944,EngSmede IVS,ApS,62020,Midtjylland,2018,1-4,Quarterly,False,1
DK87983597,FjordService A/S,ApS,69200,Nordjylland,2005,0,Monthly,False,1
DK96682649,SkovRaad IVS,ENK,41200,Nordjylland,2013,1-4,Quarterly,False,0
DK78332925,SkySystem IVS,ENK,41200,Midtjylland,2018,0,Quarterly,False,0
DK96510666,MaaneRegnskab Holding ApS,ApS,70220,Hovedstaden,1992,0,Quarterly,False,0
DK22748445,AaaAdvice Holding ApS,ApS,63110,Midtjylland,1996,1-4,Quarterly,False,1
DK96449682,SkyLogistik IVS,ENK,47990,Midtjylland,2022,1-4,Quarterly,False,1
DK50627560,SolDesign IVS,ApS,62020,Nordjylland,2015,1-4,Monthly,False,1
DK13641677,KlintBogholderi ApS,ApS,68203,Hovedstaden,2009,0,Quarterly,False,0
DK36648110,OestService ApS,ApS,62020,Hovedstaden,2005,1-4,Quarterly,False,1
DK58194611,SkyHuset A/S,ENK,62010,Syddanmark,2022,5-9,Quarterly,False,1
DK91668504,NordRegnskab Holding ApS,Holding,47410,Hovedstaden,1990,0,Quarterly,True,0
DK72461773,SkovTal ApS,ApS,47410,Sjaelland,2021,20-49,Quarterly,False,1
DK62728057,MarkDesign Holding ApS,ApS,47410,Midtjylland,2000,5-9,Quarterly,False,1
DK47088839,NordStudio ApS,ENK,70220,Nordjylland,2017,0,Quarterly,False,0
DK85818307,SydStudio A/S,Holding,90030,Midtjylland,2024,0,Half-yearly,True,0
DK12427643,BjergHandel Holding ApS,ApS,71121,Hovedstaden,2005,1-4,Quarterly,False,1
DK35429575,SydHuset Holding ApS,ENK,71121,Syddanmark,2001,0,Quarterly,False,0
DK29609677,BirkSystem ApS,Holding,70220,Hovedstaden,2021,5-9,Monthly,True,1
DK64424385,KlippeAdvice IVS,ApS,62010,Midtjylland,1996,1-4,Quarterly,False,1
DK26288490,NordLabs IVS,ENK,43210,Hovedstaden,2013,20-49,Monthly,False,0
DK57205354,HavLogistik Holding ApS,A_S,63110,Midtjylland,2011,5-9,Monthly,False,1
DK76852192,OestService ApS,ApS,41200,Hovedstaden,2021,10-19,Half-yearly,False,1
DK88593613,NordMarked ApS,ENK,62010,Hovedstaden,2013,1-4,Quarterly,False,0
DK34797508,BjergData Holding ApS,ENK,90030,Midtjylland,1995,0,Quarterly,False,0
DK97567407,SydAdvice IVS,IVS,71121,Hovedstaden,2024,1-4,Quarterly,False,1
DK57903738,MaaneMarked IVS,ENK,49410,Syddanmark,2000,1-4,Monthly,False,0
DK51370628,NordRegnskab A/S,ApS,71121,Midtjylland,2001,0,Quarterly,False,0
DK31500553,SkyRegnskab A/S,A_S,62010,Midtjylland,2017,1-4,Quarterly,False,1
DK56516737,LynSmede Holding ApS,Holding,96020,Hovedstaden,2008,10-19,Half-yearly,True,1
DK18734404,SkyHandel IVS,ApS,41200,Hovedstaden,2011,50+,Half-yearly,False,0
DK20880719,NordTal IVS,ENK,85590,Hovedstaden,2007,10-19,Quarterly,False,0
DK25587200,SoeDesign A/S,ApS,70220,Hovedstaden,2021,5-9,Monthly,False,1
DK56567250,KlintBogholderi Holding ApS,A_S,41200,Hovedstaden,2006,0,Half-yearly,False,0
DK35151594,SolService Holding ApS,ApS,01130,Midtjylland,2024,20-49,Quarterly,False,0
DK50294282,FjordVaerk IVS,Holding,41200,Hovedstaden,1996,0,Monthly,True,0
DK98580706,KlippeRen IVS,A_S,69200,Syddanmark,2003,0,Quarterly,False,0
DK39213803,NordSmede A/S,ApS,41200,Hovedstaden,2000,1-4,Quarterly,False,1
DK48322216,KlintVaerk Holding ApS,A_S,41200,Hovedstaden,2016,1-4,Quarterly,False,1
DK16762647,StjerneKonsult Holding ApS,ENK,68203,Midtjylland,2023,1-4,Quarterly,False,0
DK73429377,SolByg A/S,Holding,70220,Nordjylland,2019,20-49,Monthly,True,0
DK15522324,StjerneData IVS,ENK,70220,Midtjylland,2021,1-4,Quarterly,False,0
DK54718733,OestAdvice IVS,A_S,86220,Hovedstaden,1991,0,Monthly,False,0
DK78495788,SoeLogistik A/S,A_S,47410,Hovedstaden,2012,20-49,Monthly,True,0
DK58147185,BjergService ApS,ApS,47990,Hovedstaden,1998,0,Quarterly,False,0
DK63818605,BirkStudio IVS,ApS,71121,Hovedstaden,2001,5-9,Quarterly,False,1
DK46389093,StjerneByg ApS,ENK,62020,Syddanmark,2008,5-9,Half-yearly,False,1
DK33699073,KlippeMarked IVS,ApS,47990,Hovedstaden,2001,10-19,Quarterly,False,0
DK43221715,HavKonsult Holding ApS,ApS,62020,Syddanmark,2003,1-4,Quarterly,False,1
DK41460761,VestTek IVS,ApS,62020,Nordjylland,2021,1-4,Quarterly,False,1
DK41631657,NordStudio A/S,ApS,43210,Midtjylland,2010,1-4,Quarterly,False,1
DK91151292,BirkTek ApS,ENK,47990,Hovedstaden,2003,1-4,Quarterly,False,0
DK90662564,AaaKontor Holding ApS,ApS,49410,Syddanmark,2011,1-4,Quarterly,False,1
DK58705492,SoeVaerk IVS,ApS,63110,Hovedstaden,2018,1-4,Quarterly,False,1
DK68897992,KlippeRegnskab IVS,ENK,62010,Sjaelland,2012,1-4,Monthly,False,1
DK69633300,KlippeHandel A/S,ENK,68203,Hovedstaden,2013,1-4,Quarterly,False,1
DK30457775,StjerneHandel A/S,ApS,62020,Hovedstaden,2020,5-9,Quarterly,False,1
DK62213065,SolByg IVS,ENK,62020,Nordjylland,2021,1-4,Quarterly,False,1
DK50595907,VestSystem ApS,ApS,69200,Hovedstaden,2023,1-4,Quarterly,False,0
DK85246074,VestHandel A/S,ApS,46900,Midtjylland,1994,1-4,Half-yearly,False,1
DK90693042,KlintVaerk ApS,ApS,10710,Hovedstaden,2006,1-4,Quarterly,False,1
DK99974101,HavRen IVS,Holding,85590,Midtjylland,1992,1-4,Quarterly,True,0
DK84453563,SoeRegnskab ApS,ApS,56100,Sjaelland,2003,5-9,Quarterly,False,1
DK29885087,BirkSmede Holding ApS,IVS,62020,Syddanmark,2015,0,Half-yearly,False,0
DK14131631,MaaneKonsulent Holding ApS,ApS,69200,Hovedstaden,2016,1-4,Quarterly,False,1
DK52601744,HavSmede Holding ApS,ENK,71121,Hovedstaden,2013,50+,Monthly,False,1
DK35430831,MarkStudio Holding ApS,ApS,62020,Hovedstaden,2023,5-9,Quarterly,False,1
DK59527351,OestKontor A/S,ApS,63110,Syddanmark,2009,5-9,Quarterly,False,0
DK24583297,LynRen Holding ApS,A_S,69200,Syddanmark,2006,10-19,Quarterly,False,0
DK15460805,NordRen A/S,ApS,62020,Hovedstaden,1992,0,Quarterly,False,1
DK46865068,BjergLogistik Holding ApS,ApS,46900,Hovedstaden,2019,0,Half-yearly,False,0
DK24526476,KlippeRegnskab IVS,ENK,56100,Syddanmark,2003,10-19,Quarterly,False,1
DK78390025,KlippeRaad ApS,ApS,62010,Hovedstaden,1999,1-4,Quarterly,False,1
DK26614651,SoeTek IVS,ApS,71121,Hovedstaden,2019,0,Quarterly,False,0
DK56286602,KlintLogistik A/S,A_S,85590,Syddanmark,1991,0,Quarterly,False,0
DK49688392,SkyKontor ApS,ApS,47990,Hovedstaden,1991,10-19,Quarterly,False,0
DK11203585,OestRen IVS,ENK,86220,Hovedstaden,2002,10-19,Quarterly,False,1
DK82323279,MarkDesign A/S,ENK,70220,Hovedstaden,2024,1-4,Quarterly,False,1
DK26013233,SolHandel IVS,ApS,96020,Hovedstaden,2024,1-4,Quarterly,False,1
DK13640786,OestStudio Holding ApS,ApS,63110,Hovedstaden,2014,1-4,Monthly,False,0
DK20675854,BjergService Holding ApS,ApS,70220,Midtjylland,2003,1-4,Quarterly,False,1
DK14051895,FjordStudio IVS,A_S,62020,Midtjylland,2002,5-9,Quarterly,False,1
DK58764053,LynSystem IVS,A_S,71121,Hovedstaden,2015,1-4,Monthly,False,0
DK17500093,StjerneVaerk Holding ApS,ApS,70220,Midtjylland,1990,1-4,Monthly,False,1
DK54603079,OestService ApS,ApS,63110,Sjaelland,1998,1-4,Quarterly,False,1
DK81141227,HavService Holding ApS,ENK,47990,Midtjylland,2012,20-49,Quarterly,False,1
DK28726414,MarkKonsult IVS,ENK,69200,Hovedstaden,2008,1-4,Half-yearly,False,1
DK28882656,OestTal A/S,ApS,63110,Syddanmark,2005,5-9,Quarterly,False,1
DK20078499,HavSmede Holding ApS,Holding,62020,Nordjylland,2015,10-19,Quarterly,True,1
DK26716340,HavVaerk A/S,ENK,70220,Sjaelland,2008,1-4,Quarterly,False,1
DK34327825,KlippeRegnskab Holding ApS,ENK,69200,Hovedstaden,1992,20-49,Quarterly,False,0
DK84282402,StjerneAdvice ApS,ApS,70220,Hovedstaden,2015,10-19,Quarterly,False,1
DK19074077,AaaService Holding ApS,ApS,63110,Sjaelland,2022,0,Quarterly,False,1
DK44115506,SydRaad IVS,A_S,85590,Syddanmark,2002,1-4,Quarterly,False,1
DK34789153,SydKonsult ApS,ApS,68203,Hovedstaden,2022,1-4,Quarterly,False,1
DK59322138,StjerneKonsult Holding ApS,ApS,47410,Hovedstaden,2003,5-9,Half-yearly,False,1
DK68831456,OestRegnskab IVS,ApS,41200,Nordjylland,1999,1-4,Quarterly,False,1
DK78410750,EngKonsult A/S,ENK,01130,Midtjylland,2003,5-9,Quarterly,False,0
DK95437095,FjordKonsult IVS,IVS,90030,Hovedstaden,1998,0,Quarterly,False,1
DK31712113,KlippeKonsulent IVS,A_S,43210,Syddanmark,2009,1-4,Quarterly,False,1
DK38767595,SkovTek Holding ApS,ENK,10710,Nordjylland,1995,5-9,Monthly,False,0
DK72265306,BirkAdvice Holding ApS,ApS,49410,Nordjylland,2022,0,Monthly,False,1
DK49114161,BjergRegnskab Holding ApS,ENK,86220,Syddanmark,2022,5-9,Half-yearly,False,0
DK53407037,SkovRegnskab IVS,ApS,71121,Hovedstaden,1991,1-4,Quarterly,False,0
DK48775426,SoeAdvice Holding ApS,A_S,62010,Syddanmark,1991,1-4,Quarterly,False,1
DK95873684,KlippeDesign IVS,ApS,62010,Hovedstaden,2014,1-4,Quarterly,False,1
DK14401061,MaaneService ApS,ENK,71121,Nordjylland,2010,1-4,Half-yearly,False,1
DK76682168,BjergTek Holding ApS,IVS,47410,Hovedstaden,2002,10-19,Half-yearly,False,0
DK71819556,SolLogistik Holding ApS,ApS,70220,Syddanmark,2022,50+,Quarterly,False,0
DK49682810,HavHuset A/S,ENK,46900,Hovedstaden,1990,5-9,Quarterly,False,0
DK46184892,BjergHuset IVS,ApS,46900,Hovedstaden,1994,1-4,Quarterly,False,0
DK35758218,SydService IVS,A_S,96020,Hovedstaden,2020,5-9,Monthly,False,0
DK14794864,VestKonsult A/S,ENK,62010,Sjaelland,1996,1-4,Quarterly,False,1
DK30428547,KlintKonsult Holding ApS,ApS,63110,Hovedstaden,2017,5-9,Monthly,False,1
DK61596420,StjerneData A/S,ApS,86220,Nordjylland,1998,1-4,Quarterly,False,1
DK58658178,VestMarked A/S,Holding,96020,Hovedstaden,2012,5-9,Quarterly,True,1
DK65615831,SkyKontor IVS,ApS,90030,Hovedstaden,2016,0,Quarterly,False,0
DK82829489,SydMarked IVS,ApS,10710,Sjaelland,2008,5-9,Quarterly,False,1
DK99714995,OestMarked Holding ApS,ENK,10710,Hovedstaden,2015,5-9,Monthly,False,1
DK39723279,SydLabs IVS,ENK,69200,Midtjylland,2005,1-4,Quarterly,False,0
DK49682084,VestByg Holding ApS,ApS,70220,Sjaelland,2006,1-4,Quarterly,False,1
DK20206846,SydKonsulent A/S,ApS,63110,Midtjylland,2016,0,Quarterly,False,1
DK34196247,AaaVaerk IVS,Holding,43210,Midtjylland,2014,20-49,Monthly,True,0
DK61723005,SkovLogistik Holding ApS,ApS,68203,Syddanmark,1995,1-4,Half-yearly,False,0
DK30063930,SkyRaad A/S,ENK,69200,Midtjylland,2008,1-4,Half-yearly,False,0
DK37754204,MarkSmede Holding ApS,ApS,46900,Nordjylland,2022,0,Quarterly,False,0
DK52632956,HavByg ApS,ApS,69200,Nordjylland,2015,0,Quarterly,False,0
DK17462999,EngSmede IVS,ENK,62020,Sjaelland,1996,1-4,Monthly,False,1
DK90300414,StjerneSystem ApS,ENK,62020,Hovedstaden,1999,20-49,Monthly,False,0
DK31796202,SydService ApS,ENK,62010,Syddanmark,2024,0,Quarterly,False,0
DK75065917,SolBogholderi Holding ApS,ApS,68203,Midtjylland,2002,1-4,Quarterly,False,1
DK86995722,SoeAdvice ApS,ApS,70220,Syddanmark,2001,20-49,Quarterly,False,0
DK55720976,SolStudio Holding ApS,ApS,96020,Syddanmark,2018,20-49,Quarterly,False,0
DK83181294,BirkData A/S,ApS,56100,Midtjylland,2017,0,Monthly,False,0
DK42238453,HavKonsult A/S,ApS,62020,Hovedstaden,2008,5-9,Quarterly,False,1
DK21874089,SkovKonsulent Holding ApS,ENK,62020,Midtjylland,1991,1-4,Monthly,False,0
DK77820667,SydRaad ApS,ApS,86220,Hovedstaden,2005,1-4,Quarterly,False,0
DK63070216,NordLabs A/S,ENK,63110,Nordjylland,1995,0,Monthly,False,0
DK55901960,BirkKontor Holding ApS,ApS,49410,Hovedstaden,1992,0,Quarterly,False,1
DK70048599,StjerneDesign IVS,ENK,62020,Nordjylland,2014,10-19,Monthly,False,1
DK36318568,SolKontor IVS,IVS,41200,Hovedstaden,2005,10-19,Monthly,False,0
DK47161794,HavRegnskab IVS,ApS,86220,Syddanmark,2001,0,Monthly,False,0
DK81857636,SolSmede A/S,ENK,63110,Nordjylland,1990,0,Half-yearly,False,0
DK86096559,MaaneKonsulent A/S,ApS,63110,Hovedstaden,2004,1-4,Half-yearly,False,1
DK76931457,SoeHuset IVS,ApS,68203,Midtjylland,1993,10-19,Half-yearly,False,0
DK79464228,BirkRaad ApS,A_S,63110,Syddanmark,2008,10-19,Half-yearly,False,0
DK57384127,LynDesign A/S,ApS,70220,Midtjylland,2021,1-4,Quarterly,False,1
DK72107804,BirkAdvice Holding ApS,ApS,70220,Hovedstaden,1992,0,Quarterly,False,1
DK95344399,SoeHuset Holding ApS,Holding,63110,Sjaelland,1995,1-4,Monthly,True,0
DK83619730,OestHandel IVS,ApS,85590,Nordjylland,2014,20-49,Quarterly,False,1
DK88699785,AaaData ApS,IVS,85590,Hovedstaden,2021,0,Quarterly,False,1
DK36778350,LynDesign ApS,ENK,70220,Midtjylland,2008,1-4,Monthly,False,0
DK55794097,SkyKonsulent ApS,ApS,96020,Nordjylland,1990,50+,Quarterly,False,0
DK14804109,VestByg A/S,A_S,62020,Midtjylland,2022,1-4,Monthly,False,1
DK72184152,KlippeDesign A/S,ENK,62010,Hovedstaden,2009,0,Quarterly,False,0
DK93172852,MarkMarked ApS,A_S,43210,Midtjylland,2002,5-9,Quarterly,False,0
DK59380622,KlintHuset A/S,ApS,90030,Hovedstaden,1996,1-4,Monthly,False,1
DK89189334,SkyKonsult ApS,ApS,62010,Midtjylland,2023,1-4,Quarterly,False,0
DK89815703,HavData ApS,ApS,62020,Hovedstaden,1991,10-19,Quarterly,False,0
DK39018009,MarkRen A/S,ENK,47410,Midtjylland,2012,0,Quarterly,False,0
DK55446859,FjordHuset ApS,ENK,86220,Hovedstaden,2004,0,Quarterly,False,0
DK49286871,HavData A/S,ApS,62010,Hovedstaden,2018,0,Quarterly,False,1
DK26675349,SkyLogistik IVS,ENK,70220,Midtjylland,2003,5-9,Quarterly,False,1
DK55805242,SkyData ApS,ENK,47990,Hovedstaden,2019,1-4,Quarterly,False,1
DK38636050,EngData ApS,A_S,70220,Sjaelland,2016,5-9,Quarterly,False,1
DK75411115,LynStudio A/S,ENK,62020,Syddanmark,1994,50+,Quarterly,False,1
DK65872261,MaaneHuset IVS,ApS,62020,Syddanmark,2011,5-9,Quarterly,False,1
DK16628740,SoeSmede A/S,ApS,70220,Hovedstaden,1994,1-4,Quarterly,False,1
DK65927370,SkovMarked IVS,A_S,71121,Hovedstaden,2006,0,Monthly,False,0
DK88207243,NordTek Holding ApS,ENK,01130,Hovedstaden,2003,20-49,Quarterly,False,1
DK66478796,FjordStudio A/S,ApS,41200,Hovedstaden,2024,1-4,Monthly,False,1
DK33225410,HavByg ApS,ApS,56100,Hovedstaden,2024,1-4,Quarterly,False,1
DK92019686,BirkHuset IVS,ApS,90030,Midtjylland,2020,10-19,Half-yearly,False,1
DK91433573,AaaTek A/S,ApS,70220,Midtjylland,2023,0,Quarterly,False,1
DK11762448,LynDesign Holding ApS,ApS,70220,Hovedstaden,2023,20-49,Quarterly,False,0
DK83130796,VestKontor ApS,ENK,49410,Sjaelland,2024,1-4,Quarterly,False,1
DK84640981,SydMarked IVS,ENK,63110,Syddanmark,2001,0,Monthly,False,1
DK27074137,SkovSystem ApS,ApS,47990,Hovedstaden,2012,0,Quarterly,False,0
DK34339537,BjergKonsulent IVS,ApS,47990,Hovedstaden,2006,0,Quarterly,False,1
DK31411167,BjergMarked Holding ApS,IVS,62010,Nordjylland,2008,1-4,Monthly,False,1
DK14100657,SkovLogistik ApS,ApS,71121,Syddanmark,1993,5-9,Quarterly,False,1
DK88216852,KlippeRen IVS,ApS,62020,Midtjylland,1990,5-9,Half-yearly,False,1
DK91019420,LynRegnskab Holding ApS,ENK,62020,Midtjylland,2023,1-4,Monthly,False,1
DK18088123,BjergByg Holding ApS,ENK,71121,Syddanmark,2022,5-9,Quarterly,False,1
DK91218717,FjordTek IVS,ApS,69200,Midtjylland,2010,1-4,Monthly,False,1
DK95534588,LynTek IVS,ENK,86220,Syddanmark,2019,1-4,Quarterly,False,0
DK76246663,VestMarked A/S,ENK,49410,Hovedstaden,2023,5-9,Quarterly,False,1
DK47181798,NordByg A/S,ApS,86220,Syddanmark,1990,5-9,Quarterly,False,1
DK93628430,VestRegnskab ApS,ApS,63110,Syddanmark,1992,10-19,Quarterly,False,0
DK69765497,SkyRaad IVS,ApS,63110,Midtjylland,1990,0,Quarterly,False,1
DK14933998,EngLabs A/S,ApS,63110,Midtjylland,2024,10-19,Quarterly,False,0
DK37964071,SkovKontor IVS,ApS,62020,Hovedstaden,2011,1-4,Monthly,False,1
DK92927765,KlintDesign A/S,ApS,68203,Midtjylland,2001,1-4,Monthly,False,1
DK47824153,LynRen A/S,ApS,70220,Syddanmark,2010,20-49,Monthly,False,1
DK96657157,KlippeKontor ApS,ENK,63110,Syddanmark,2023,0,Quarterly,False,0
DK97786884,SkovKonsulent A/S,ENK,96020,Sjaelland,2011,1-4,Monthly,False,0
DK12316649,HavKonsulent IVS,A_S,70220,Syddanmark,2000,10-19,Quarterly,False,0
DK31250015,VestTal A/S,ENK,62010,Hovedstaden,1998,5-9,Half-yearly,False,0
DK50969822,FjordRaad ApS,ApS,62020,Syddanmark,2019,0,Quarterly,False,1
DK28353395,SoeDesign ApS,A_S,41200,Midtjylland,1993,0,Quarterly,False,0
DK34067606,BjergAdvice A/S,ApS,85590,Sjaelland,2014,1-4,Quarterly,False,1
DK64111070,StjerneDesign Holding ApS,ApS,62020,Sjaelland,1990,1-4,Half-yearly,False,1
DK10287102,SoeStudio ApS,ApS,49410,Hovedstaden,2015,1-4,Monthly,False,1
DK58318730,VestByg Holding ApS,ENK,01130,Hovedstaden,2010,0,Quarterly,False,0
DK57740644,SydStudio Holding ApS,A_S,96020,Syddanmark,2023,0,Monthly,False,0
DK46017936,KlippeSystem A/S,ApS,63110,Midtjylland,2018,1-4,Half-yearly,False,1
DK71617148,KlintSystem Holding ApS,A_S,62010,Syddanmark,1992,0,Quarterly,False,1
DK22034549,BirkService Holding ApS,ApS,01130,Hovedstaden,2016,1-4,Quarterly,False,1
DK83748206,KlintHandel ApS,IVS,69200,Syddanmark,2006,1-4,Quarterly,False,1
DK40173652,StjerneVaerk A/S,Holding,43210,Midtjylland,1990,1-4,Monthly,True,1
DK28819612,KlippeData ApS,ApS,47990,Syddanmark,2024,5-9,Half-yearly,False,1
DK22761926,FjordTal Holding ApS,ApS,62020,Hovedstaden,1993,20-49,Monthly,False,0
DK15031320,KlintRegnskab ApS,ApS,85590,Midtjylland,2009,1-4,Quarterly,False,1
DK64472867,HavSmede IVS,ApS,68203,Nordjylland,2003,1-4,Quarterly,False,1
DK76483984,SydSmede Holding ApS,ApS,47990,Midtjylland,2013,0,Half-yearly,False,1
DK96231565,LynRen Holding ApS,ApS,70220,Midtjylland,1992,10-19,Monthly,False,0
DK67688739,SydTal ApS,Holding,10710,Nordjylland,2009,5-9,Half-yearly,True,1
DK89897175,EngVaerk A/S,ENK,46900,Syddanmark,1991,1-4,Quarterly,False,0
DK78114734,EngKonsulent ApS,ENK,47990,Midtjylland,1996,0,Quarterly,False,0
DK34078262,LynData A/S,IVS,96020,Hovedstaden,1991,1-4,Monthly,False,0
DK26039742,SkyRaad IVS,ApS,47990,Syddanmark,2002,0,Quarterly,False,0
DK33920758,KlintDesign A/S,ApS,69200,Midtjylland,2023,1-4,Quarterly,False,1
DK47943600,MarkBogholderi ApS,ApS,62010,Syddanmark,2001,10-19,Quarterly,False,1
DK76174798,HavStudio ApS,ApS,63110,Hovedstaden,2021,5-9,Half-yearly,False,1
DK41651865,OestRen Holding ApS,ApS,47410,Syddanmark,1992,10-19,Quarterly,False,1
DK15423768,KlintRaad IVS,ApS,47410,Syddanmark,2015,0,Quarterly,False,1
DK52772667,LynRaad Holding ApS,ENK,43210,Syddanmark,2020,20-49,Quarterly,False,1
DK96344902,SolService A/S,IVS,70220,Hovedstaden,2007,0,Quarterly,False,0
DK29345064,LynRaad A/S,ApS,85590,Syddanmark,2001,5-9,Quarterly,False,0
DK41278485,AaaTal Holding ApS,ENK,49410,Hovedstaden,2024,0,Quarterly,False,1
DK75116880,BjergVaerk A/S,ApS,63110,Syddanmark,1993,0,Quarterly,False,1
DK38569229,StjerneKontor IVS,ENK,47990,Hovedstaden,2020,1-4,Half-yearly,False,1
DK42790750,KlippeLogistik Holding ApS,ApS,41200,Hovedstaden,2007,5-9,Quarterly,False,1
DK62798230,OestTal IVS,ENK,46900,Sjaelland,1998,1-4,Quarterly,False,0
DK48135731,MaaneKonsult Holding ApS,IVS,62020,Midtjylland,2014,10-19,Quarterly,False,1
DK51342385,SkyRegnskab ApS,ApS,86220,Midtjylland,1998,0,Quarterly,False,0
DK45220971,EngStudio IVS,ApS,68203,Hovedstaden,2004,0,Half-yearly,False,0
DK82463798,FjordKonsult A/S,ApS,47990,Nordjylland,2019,0,Quarterly,False,1
DK84469176,BjergBogholderi A/S,ENK,49410,Hovedstaden,2010,1-4,Half-yearly,False,0
DK72174089,SoeDesign Holding ApS,ENK,90030,Midtjylland,2015,0,Quarterly,False,0
DK65914914,HavLabs Holding ApS,ENK,69200,Sjaelland,1990,1-4,Quarterly,False,1
DK22224080,MaaneSmede Holding ApS,ApS,41200,Hovedstaden,2005,10-19,Quarterly,False,0
DK23384782,SkyRegnskab Holding ApS,ApS,71121,Syddanmark,1992,5-9,Quarterly,False,1
DK60536738,EngStudio ApS,ApS,90030,Sjaelland,1994,1-4,Quarterly,False,1
DK92807890,SkovData IVS,ENK,62010,Syddanmark,1995,1-4,Quarterly,False,1
DK72241590,EngVaerk IVS,ApS,70220,Midtjylland,1993,0,Quarterly,False,0
DK83498162,SydTek ApS,ENK,10710,Nordjylland,2014,10-19,Quarterly,False,0
DK55279770,SoeVaerk Holding ApS,ApS,69200,Nordjylland,2008,5-9,Quarterly,False,0
DK16432170,BjergMarked IVS,ApS,85590,Syddanmark,1993,0,Quarterly,False,0
DK71083983,SolLabs IVS,ApS,70220,Midtjylland,1995,0,Quarterly,False,1
DK46095081,KlintRaad ApS,ApS,68203,Hovedstaden,2005,0,Half-yearly,False,0
DK26112464,StjerneRen IVS,ApS,10710,Syddanmark,1997,5-9,Half-yearly,False,0
DK66574908,EngService IVS,ENK,69200,Nordjylland,1993,0,Quarterly,False,1
DK16885810,KlippeTek IVS,ApS,85590,Syddanmark,2016,50+,Quarterly,False,0
DK93519540,SoeMarked A/S,ApS,69200,Nordjylland,1992,0,Quarterly,False,0
DK79168679,SoeStudio IVS,ENK,43210,Sjaelland,2007,1-4,Monthly,False,1
DK20314924,SolKonsult A/S,ApS,41200,Midtjylland,2002,1-4,Quarterly,False,1
DK30348144,EngHuset Holding ApS,ApS,96020,Hovedstaden,2003,0,Quarterly,False,0
